Date,AQI_Value,Main_Pollutant,Site_ID,Site_Name,Source
14-Sep-2020,23,Ozone,36-061-0135,CCNY,AQS
15-Sep-2020,22,Ozone,36-061-0135,CCNY,AQS
16-Sep-2020,25,Ozone,36-061-0135,CCNY,AQS
17-Sep-2020,27,PM2.5,36-061-0115,Intermediate School 143,AQS
18-Sep-2020,26,PM2.5,36-061-0079,IS 45,AQS
19-Sep-2020,27,Ozone,36-061-0135,CCNY,AQS
20-Sep-2020,26,Ozone,36-061-0135,CCNY,AQS
21-Sep-2020,24,Ozone,36-061-0135,CCNY,AQS
22-Sep-2020,31,Ozone,36-061-0135,CCNY,AQS
23-Sep-2020,41,Ozone,36-061-0135,CCNY,AQS
24-Sep-2020,56,PM2.5,36-061-0115,Intermediate School 143,AQS
25-Sep-2020,64,PM2.5,36-061-0115,Intermediate School 143,AQS
26-Sep-2020,34,Ozone,36-061-0135,CCNY,AQS
27-Sep-2020,29,Ozone,36-061-0135,CCNY,AQS
28-Sep-2020,27,Ozone,36-061-0135,CCNY,AQS
29-Sep-2020,20,PM2.5,36-061-0115,Intermediate School 143,AQS
30-Sep-2020,28,Ozone,36-061-0135,CCNY,AQS
1-Oct-2020,25,Ozone,36-061-0135,CCNY,AQS
2-Oct-2020,28,Ozone,36-061-0135,CCNY,AQS
3-Oct-2020,25,Ozone,36-061-0135,CCNY,AQS
4-Oct-2020,31,Ozone,36-061-0135,CCNY,AQS
5-Oct-2020,32,Ozone,36-061-0135,CCNY,AQS
6-Oct-2020,35,Ozone,36-061-0135,CCNY,AQS
7-Oct-2020,36,Ozone,36-061-0135,CCNY,AQS
8-Oct-2020,23,Ozone,36-061-0135,CCNY,AQS
9-Oct-2020,29,Ozone,36-061-0135,CCNY,AQS
10-Oct-2020,32,PM2.5,36-061-0115,Intermediate School 143,AQS
11-Oct-2020,29,PM2.5,36-061-0115,Intermediate School 143,AQS
12-Oct-2020,22,Ozone,36-061-0135,CCNY,AQS
13-Oct-2020,16,Ozone,36-061-0135,CCNY,AQS
14-Oct-2020,27,PM2.5,36-061-0115,Intermediate School 143,AQS
15-Oct-2020,40,Ozone,36-061-0135,CCNY,AQS
16-Oct-2020,22,Ozone,36-061-0135,CCNY,AQS
17-Oct-2020,26,Ozone,36-061-0135,CCNY,AQS
18-Oct-2020,33,PM2.5,36-061-0079,IS 45,AQS
19-Oct-2020,29,Ozone,36-061-0135,CCNY,AQS
20-Oct-2020,34,PM2.5,36-061-0115,Intermediate School 143,AQS
21-Oct-2020,26,PM2.5,36-061-0079,IS 45,AQS
22-Oct-2020,52,PM2.5,36-061-0115,Intermediate School 143,AQS
23-Oct-2020,29,Ozone,36-061-0135,CCNY,AQS
24-Oct-2020,20,PM2.5,36-061-0079,IS 45,AQS
25-Oct-2020,19,Ozone,36-061-0135,CCNY,AQS
26-Oct-2020,22,PM2.5,36-061-0115,Intermediate School 143,AQS
27-Oct-2020,18,PM2.5,36-061-0079,IS 45,AQS
28-Oct-2020,23,PM2.5,36-061-0115,Intermediate School 143,AQS
29-Oct-2020,19,Ozone,36-061-0135,CCNY,AQS
30-Oct-2020,20,PM2.5,36-061-0115,Intermediate School 143,AQS
31-Oct-2020,27,PM2.5,36-061-0115,Intermediate School 143,AQS
1-Nov-2020,21,Ozone,36-061-0135,CCNY,AQS
2-Nov-2020,35,PM2.5,36-061-0115,Intermediate School 143,AQS
3-Nov-2020,47,PM2.5,36-061-0115,Intermediate School 143,AQS
