Date,Source,Site ID,Daily_Mean_PM25_Concentration,UNITS,DAILY_AQI,Site_Name,PERCENT_COMPLETE,AQS_PARAMETER_DESC,STATE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
15-Jun-2000,AQS,360610010,20.5,ug/m3 LC,69,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
16-Jun-2000,AQS,360610010,22.5,ug/m3 LC,73,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
17-Jun-2000,AQS,360610056,22,ug/m3 LC,72,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
18-Jun-2000,AQS,360610010,13.3,ug/m3 LC,54,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
19-Jun-2000,AQS,360610010,12,ug/m3 LC,50,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
20-Jun-2000,AQS,360610056,14,ug/m3 LC,55,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
21-Jun-2000,AQS,360610010,16.4,ug/m3 LC,60,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
22-Jun-2000,AQS,360610010,18.1,ug/m3 LC,64,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
23-Jun-2000,AQS,360610056,14.9,ug/m3 LC,57,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
24-Jun-2000,AQS,360610010,18.8,ug/m3 LC,65,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
25-Jun-2000,AQS,360610010,20.6,ug/m3 LC,69,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
26-Jun-2000,AQS,360610056,26.4,ug/m3 LC,81,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
27-Jun-2000,AQS,360610010,21.9,ug/m3 LC,72,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
28-Jun-2000,AQS,360610010,11.7,ug/m3 LC,49,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
29-Jun-2000,AQS,360610056,16.4,ug/m3 LC,60,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
30-Jun-2000,AQS,360610010,14.2,ug/m3 LC,55,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
1-Jul-2000,AQS,360610010,13.7,ug/m3 LC,54,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
2-Jul-2000,AQS,360610010,22.7,ug/m3 LC,73,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
